"id","tweet","label","TR","AG"
252,"Dear @KingJames Thank you for giving back. As a son of an immigrant who came to the US with16¢ in his pocket, thank you for giving opportunity. I am one of your biggest fans, not because of your athletic prowess, but from your commitment that EDUCATION is the ultimate equalizer. https://t.co/K8aAV6Cqhq",0,0,0
253,"The plight of #Rohingya represents the present and the future of not just for #Myanmar but for much of South and #SoutheastAsia https://t.co/1JMvl4m5S9 @SC_Humanitarian @save_children @MSF @UnicefAsiaPac @UNmigration @theIRC @HRWBurma @rohingyablogger @FortifyRights @OpRohingya",0,0,0
254,"We are no longer alone: Italian Prime Minister hails #EU migrant distribution a success https://t.co/Tk6LMEPB7f",0,0,0
255,"Lisdoonvarna, a village earmarked for replacement. Along with a growing number of other towns and cities right across Ireland. Listen to Irish (FG) Minister for 'Equality, Immigration and... https://t.co/1IdSAUwiyM",0,0,0
256,"Let's build that wall.#BuildThatWall",1,0,1
257,"US Supreme Court Upholds Donald Trump's Immigration Travel Ban (for now) https://t.co/R74RVk96DN via @YouTube",0,0,0
258,"Worker charged with sexually molesting eight children at immigrant shelter https://t.co/w3eLVGJcUi #sasc #colga #speakup #speakout",0,0,0
259,"Guatemalan mother separated from her 7-year-old daughter waits https://t.co/DbVk2EYt9A",0,0,0
260,"Instead of making Illinois a welcoming state, @BruceRauner has turned his back on our immigrant communities and has a series of bills sitting on his desk #ilgov #twill https://t.co/NtZNnPkNrm",0,0,0
261,"@liberal_party I was in Toronto last year. It no longer looked like Canada. Very sad situation. The Canadians were good people.https://t.co/7bHGpS1cH0Stop immigration. Start deportations. We have the right to our homelands.",1,0,1
262,"Democratic PATRIOTS pls call your representatives and demand #Kavanaugh be confirmed, esp if up for re-election. .@PressSec .@realDonaldTrump .@GenFlynn #SaturdayMotivation #USOpen2018 .@reba .@katyperry .@johnrich #MAGA #BuildThatWall #RedNationRising #WalkAway",1,0,1
263,"The new anti-migrant national consensus https://t.co/ktZ1Jg59H5",0,0,0
264,"Sweden: Migrant raped 92-year old grandmother on Christmas Eve – allowed to remain in Sweden #SWRM #SendThemHome #Sweden #Rapists https://t.co/aDxcQP00Hr via @pamelageller",1,0,0
265,"Right on.  https://t.co/lT9NGugnfe",0,0,0
266,"I have an immigrant mentality, which is that the job can be taken away at any time, so make sure you earn it every day,”   How  Pepsi’s Indra Nooyi Learned To Be A CEO https://t.co/tgGKsLYJEe",0,0,0
267,"Join @survivepunish for a teach-in about surviving violence, ICE and the experiences of criminalized immigrant survivors this Thursday in SF https://t.co/zeTEn27F73 https://t.co/M3UKVv0j55",0,0,0
268,"Polish Prime Minister Mateusz Morawiecki insisted that Poland would push  against any discussion on refugee relocations as part of the EU’s  migration politics.https://t.co/AkuP6sjzfK",0,0,0
269,"@DFBHarvard SO WELL SAID, Daniel!His speeches ALL smack of Alinsky; divide & conquer by victimizing one group & calling out the other as bigots, racists, fascist, etc.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlu",1,0,1
270,"@sriharikaranth @AsYouNotWish Here it is not about Refugees or Illegal immigrants. It is about whether one has documents before 1971 or not. Now, it is difficult for slum people and beggars to show valid documents, except the name in voter list. 1st under",1,0,0
271,"Refugees don't choose to be refugees. By definition, refugees have been forced to leave their home country because their lives or safety were threatened.Learn more about refugees by downloading our free e-book ""8 Things You Should Know About Refugees"" âž https://t.co/7FgO8dFr2e https://t.co/IVxoYMn5KM",0,0,0
272,"Rally To Support Detained Pizza-Worker Immigrant https://t.co/0Yd09XlBtK",0,0,0
273,"I'd say electrify the water but that would kill wildlife. #SendThemBack",1,0,1
274,"actually both Milo and Alex have a friend in the White House- so ain't nobody ''come' for them- unlike say muslims ot immigrant chilfren https://t.co/uqnZ8oRJ97",0,0,0
275,"Good news.We are against illegal immigrants.Bangladeshi must go https://t.co/yhY6HEOtLm your evidence and stay at Assam. https://t.co/34sQqHPM5z",1,0,0
276,"@CBSNews Just deport all these illegal aliens and their kids back to their 3rd world nations. American citizens taxpayers are tired of being robbed by the 3rd world nation paying for these illegal aliens and their kids! #MAGA #BuildTheWall #NoDACA #NoAmne",1,0,0
277,"@Jeremy_Hunt @RoyalAirForce Germans are OK, like the rest of Western Europe, the immigration problem came from the East (Romania) The are partly responsible for the no vote, also the EU being unelected can hardly claim to represent any European nation..",0,0,0
278,"Maninder: How I felt, when Immigration New Zealand said ""NO"" to me!: http://t.co/T5oGG0I9Cy via @YouTube",0,0,0
279,"Failing to integrate refugee children risks devastating consequences: Children and youth who are out of school and unemployed are more susceptible to crime, exploitation, abuse and possibly radicalization. https://t.co/lnwe7uv6Cz",0,0,0
280,"Many lice you will find in Viennese schools. Some refugees has brought us this as gift. To rescue it will cost 30 â‚¬ a person. https://t.co/UAv43Bylfb",1,0,0
281,"What a way to damage LasVegas, such stupidity!! MGM turns to never-tested law to sue Vegas shooting victims   https://t.co/zgtqpu2xt5",0,0,0
282,".⁦@united⁩ how about donating flights to deport the Invaders back to their homeland.  #StopTheInvasion #DeportThemAll  https://t.co/Ry2dah2KeJ",1,0,1
283,"Russia did it!  Russia di....  Wait, what?  Big scary Russia is helping people go home without being detained etc? https://t.co/CmBZXrKPNV",0,0,0
284,"@Truthdig  Fake News it is not a new Stephen Miller Rule. the Public Charge rule has been part of the U.S #Immigration law  since 1882.  Why Should  U.S Taxpayers give Welfare to Immigrants and import the World's poor  ! #Veterans  #Trump #MAGA https://t.",1,0,1
285,"PolitiFact Florida: Bill Nelson claims detained immigrant parents charged $8/minute to call their children. He is such a phony he makes me sick   https://t.co/roQoY8rPAB  Shared from my Google feed",0,0,0
286,"@ArvindKejriwal Pl save Delhi from becoming a SLUM CITY&amp;hub of illegal migrants.Pl take LG help in removing encroachments&amp;eviction of IMs",1,0,0
287,"As usual the media is giving two sides: a Republican side and a Democrat side on immigration. There are other views by why bother offering those up. How about we allow supply and demand for labor  decide how many cross and let Econ 101 supply and demand decide?",0,0,0
288,"Netherlands: 1,400 girls per year become sex slaves to ‘˜migrant background’ men | Cape Fear Caller https://t.co/8w23fYwIVr via @TraddyCath",0,0,0
289,"Books to Help Kids Understand What It’s Like to Be a #Refugee https://t.co/4qybPV8rj1 #WithRefugees @tyrusmaina @Refugees @refugeeaffairs @UNHCR_Kenya @RCKDirector @imaana102",0,0,0
290,"Russian meddling in Syrian refugee repatriation:https://t.co/nCjMUFCJc0",0,0,0
